Time,RT,kW_Tot,kW_RT,kW_CHH,GPM,Precent_CH,RH [%],CH Load
2023-12-01T00:00:00,201.2,208.7,1.037,135.6,1238,65,64.1,39.6
2023-12-01T00:10:00,180.5,203.5,1.127,130.4,1238,64.1,64.1,38.4
2023-12-01T00:20:00,170.2,200.8,1.179,127.8,1238,63.6,65.1,37.6
2023-12-01T00:30:00,184.9,201.2,1.088,128.3,1233,63.8,65,37.8
2023-12-01T00:40:00,176.4,181.4,1.028,117.6,1282.8,64.8,64.8,34.6
2023-12-01T00:50:00,181.9,189.7,1.043,125.7,1284,66.3,64.9,37
2023-12-01T01:00:00,179.5,193,1.076,129.2,1266.8,66.9,65.1,38.1
2023-12-01T01:10:00,165.2,214.1,1.296,150.9,1279.1,70.5,65,44.4
,,,,,,,,
2023-12-01T01:30:00,180.7,197.2,1.091,134.2,1275.5,68.1,64.9,39.5
2023-12-01T01:40:00,164.7,202.8,1.231,139.6,1275.5,68.9,65.4,41.1
2023-12-01T01:50:00,193.2,202.7,1.049,139.5,1287.7,68.8,65.3,41.1
2023-12-01T02:00:00,0,66.4,0,0.4,0,0.6,65.6,0
2023-12-01T02:10:00,0,24.3,0,0.4,0,1.6,66.5,0
2023-12-01T02:20:00,0,24.3,0,0.4,0,1.6,67.1,0
2023-12-01T02:30:00,0,24.5,0,0.4,0,1.6,67.3,0
2023-12-01T02:40:00,0,24.2,0,0.2,0,0.9,67.8,0
2023-12-01T02:50:00,0,24.4,0,0.4,0,1.6,68.1,0
2023-12-01T03:00:00,0,25.4,0,1.4,0,5.4,68.9,0
2023-12-01T03:10:00,0,25.5,0,1.4,0,5.4,68.1,0
2023-12-01T03:20:00,0,25.5,0,1.4,0,5.4,68.9,0
2023-12-01T03:30:00,0,24.7,0,0.4,0,1.6,68.7,0
2023-12-01T03:40:00,0,24.6,0,0.4,0,1.6,69.3,0
2023-12-01T03:50:00,0,24.5,0,0.4,0,1.6,69.4,0
2023-12-01T04:00:00,87.1,121.3,1.392,57.4,1307,47.3,69.9,16.9
2023-12-01T04:10:00,341.6,263,0.77,199.1,1322.5,75.7,69.8,58.7
2023-12-01T04:20:00,294.9,262.5,0.89,198.9,1310.6,75.8,68.9,58.6
2023-12-01T04:30:00,268.3,277.2,1.033,213.4,1314.2,77,68.2,62.9
2023-12-01T04:40:00,300.6,286,0.951,222.3,1311.8,77.7,68.5,65.5
2023-12-01T04:50:00,263.3,256.5,0.974,183.4,1316.6,71.5,68.2,54
2023-12-01T05:00:00,213.7,226.2,1.059,152.7,1349.5,67.5,68.7,45
2023-12-01T05:10:00,273.9,232.9,0.85,159.5,1341.3,68.5,69,47
2023-12-01T05:20:00,276.2,219.5,0.795,145.9,1353,66.5,69.3,43
2023-12-01T05:30:00,264.5,212,0.801,138.4,1350.6,65.3,69.5,40.8
2023-12-01T05:40:00,265.6,217.5,0.819,143.7,1356.4,66.1,69.1,42.3
2023-12-01T05:50:00,264.3,215.3,0.815,142.1,1349.5,66,69.3,41.9
2023-12-01T06:00:00,257.1,213.3,0.83,140,1341.3,65.7,70.4,41.3
2023-12-01T06:10:00,275.5,218.2,0.792,144.8,1349.5,66.3,71.1,42.7
2023-12-01T06:20:00,279.7,215.9,0.772,142,1342.5,65.8,71.2,41.8
2023-12-01T06:30:00,258.4,215.5,0.834,142.2,1348.3,66,72.3,41.9
2023-12-01T06:40:00,286.8,250.1,0.872,176.3,1349.5,70.5,72.4,52
2023-12-01T06:50:00,288.7,228.1,0.79,154.4,1358.7,67.7,72.2,45.2
2023-12-01T07:00:00,292.1,228.2,0.781,154.9,1348.3,67.9,72.2,45.4
2023-12-01T07:10:00,293.1,229.9,0.784,153.1,1353,66.6,71.9,45.1
2023-12-01T07:20:00,305.7,232.5,0.76,156,1358.7,67.1,71.8,46
2023-12-01T07:30:00,289.5,233,0.805,156.6,1362.2,67.2,72.5,46.2
2023-12-01T07:40:00,283.3,237.8,0.839,161.1,1359.9,67.8,72.3,47.5
2023-12-01T07:50:00,305.2,236.8,0.776,160.5,1356.4,67.8,71.5,47.3
2023-12-01T08:00:00,291.7,236.7,0.811,159.5,1372.5,67.4,72.2,47
2023-12-01T08:10:00,312.2,239.1,0.766,160.2,1362.2,67,71.9,47.2
2023-12-01T08:20:00,300.8,236.4,0.786,157.3,1362.2,66.5,72.2,46.3
2023-12-01T08:30:00,0,78.8,0,0.2,0,0.2,72,0
2023-12-01T08:40:00,298.3,245.3,0.823,166.9,1350.6,68,72,49.2
2023-12-01T08:50:00,299.8,274.3,0.915,195.3,1357.6,71.2,71.8,57.6
2023-12-01T09:00:00,295.4,246.9,0.836,167.8,1363.4,68,71.7,49.5
2023-12-01T09:10:00,323,245,0.759,165.7,1359.9,67.6,72.1,48.8
2023-12-01T09:20:00,322.2,258.7,0.803,179.8,1356.4,69.5,72.1,53
2023-12-01T09:30:00,307.7,252.5,0.821,173.9,1342.5,68.9,70.7,51.3
2023-12-01T09:40:00,356.7,301.2,0.845,222.5,1358.7,73.9,70.7,65.6
2023-12-01T09:50:00,358.2,271.6,0.758,193,1364.5,71,71.3,56.6
2023-12-01T10:00:00,374,273.5,0.731,194.6,1359.9,71.1,72,57.1
2023-12-01T10:10:00,357.9,276.4,0.772,196.6,1363.4,71.1,71.7,58
2023-12-01T10:20:00,380.9,296.1,0.777,216,1364.5,72.9,69.6,63.7
2023-12-01T10:30:00,359.4,291,0.81,210.8,1369.1,72.5,69.7,62.1
2023-12-01T10:40:00,366.3,274.9,0.75,194.8,1373.7,70.9,69.6,57.4
2023-12-01T10:50:00,0,80.5,0,0.2,0,0.2,70.6,0
2023-12-01T11:00:00,356.7,297.1,0.833,217,1358.7,73.1,72.6,64
2023-12-01T11:10:00,387.6,294.5,0.76,215.9,1348.3,73.3,71.9,63.6
2023-12-01T11:20:00,355.8,284.3,0.799,205.7,1334.3,72.4,73.4,60.6
2023-12-01T11:30:00,369.2,295.8,0.801,217.3,1342.5,73.5,72.7,64.1
2023-12-01T11:40:00,363.3,305.8,0.842,227.4,1341.3,74.3,71.7,67
2023-12-01T11:50:00,383.3,303.2,0.791,225.1,1353,74.2,71.9,66.4
2023-12-01T12:00:00,382.7,306,0.8,227.6,1350.6,74.4,71.8,67.1
2023-12-01T12:10:00,370.1,292.6,0.791,213.5,1346,72.9,73.3,62.9
2023-12-01T12:20:00,386.3,303.6,0.786,224.1,1343.7,73.8,73.6,66.1
2023-12-01T12:30:00,373.8,303.8,0.813,224,1339,73.7,73.2,66
2023-12-01T12:40:00,374.1,298.8,0.799,219.4,1340.2,73.4,73.6,64.7
2023-12-01T12:50:00,366.9,294,0.801,214.4,1334.3,72.9,72.2,63.2
2023-12-01T13:00:00,376.4,293.7,0.78,214.4,1348.3,73,73,62.9
2023-12-01T13:10:00,387,310.2,0.801,230.5,1346,74.3,72.2,67.7
2023-12-01T13:20:00,374.1,301.4,0.806,221.9,1340.2,73.6,73.6,65.4
2023-12-01T13:30:00,365.5,294.5,0.806,215,1349.5,73,73.2,63.4
2023-12-01T13:40:00,377.4,297.3,0.788,217.9,1332,73.3,72.7,64.2
2023-12-01T13:50:00,382.7,291.5,0.762,212.3,1350.6,72.8,73.5,62.6
2023-12-01T14:00:00,410.1,310,0.756,230.8,1348.3,74.4,73,68
2023-12-01T14:10:00,360.7,289.3,0.802,209.5,1332,72.4,74.4,61.8
2023-12-01T14:20:00,370.5,301.3,0.813,221.6,1347.2,73.6,74.5,65.3
2023-12-01T14:30:00,380,308.1,0.811,228.3,1341.3,74.1,74.3,67.3
2023-12-01T14:40:00,364.2,316.1,0.868,236.8,1344.8,74.9,73.3,69.8
2023-12-01T14:50:00,392.2,332.4,0.847,252.9,1344.8,76.1,74,74.5
2023-12-01T15:00:00,379.4,292.8,0.772,213.2,1339,72.8,73.6,62.8
2023-12-01T15:10:00,411.9,309.4,0.751,229.8,1354.1,74.3,75.2,67.7
2023-12-01T15:20:00,374.1,311.3,0.832,232,1340.2,74.5,75.2,68.4
2023-12-01T15:30:00,409.4,322.6,0.788,242.8,1346,75.2,75.8,71.6
2023-12-01T15:40:00,420.6,309.2,0.735,229.9,1346,74.4,75.8,67.8
2023-12-01T15:50:00,391.9,292.7,0.747,213.7,1343.7,73,75.6,63
2023-12-01T16:00:00,379.7,297.6,0.784,218.3,1340.2,73.3,76.1,64.3
2023-12-01T16:10:00,411.5,307.3,0.747,227.6,1353,74.1,76.4,66.8
2023-12-01T16:20:00,404.1,323.2,0.8,243.5,1347.2,75.3,76.5,71.5
2023-12-01T16:30:00,406.2,330.2,0.813,250.6,1354.1,75.9,77.5,73.6
2023-12-01T16:40:00,409.4,334.4,0.817,254.6,1346,76.1,77.1,75.1
2023-12-01T16:50:00,392.6,314.6,0.801,235.5,1346,74.8,77.8,69.4
2023-12-01T17:00:00,375.1,315.4,0.841,235.6,1343.7,74.7,77.8,69.4
2023-12-01T17:10:00,359.6,302,0.84,222.4,1348.3,73.7,78.5,65.6
2023-12-01T17:20:00,404.5,294.8,0.729,215.2,1348.3,73,79.4,63.4
